x,y,z
23.277,-41.4,0.2857142857142857
25.535,-41.4,0.6666666666666666
27.793,-41.4,0.5
30.051,-41.4,0.4444444444444444
32.309,-41.4,0.3125
34.567,-41.4,0.3157894736842105
36.825,-41.4,0.3333333333333333
39.083,-41.4,0.45
41.341,-41.4,0.3157894736842105
43.599000000000004,-41.4,0.5
45.857,-41.4,0.058823529411764705
48.115,-41.4,0.21052631578947367
50.373000000000005,-41.4,0.1875
52.631,-41.4,0.18604651162790697
54.888999999999996,-41.4,0.07692307692307693
57.147000000000006,-41.4,0.08823529411764706
59.405,-41.4,0.17647058823529413
61.663,-41.4,0.16304347826086957
63.921,-41.4,0.11956521739130435
66.179,-41.4,0.11214953271028037
68.437,-41.4,0.19101123595505617
70.695,-41.4,0.0761904761904762
72.953,-41.4,0.08823529411764706
75.21099999999998,-41.4,0.11267605633802817
77.469,-41.4,0.046875
79.727,-41.4,0.047619047619047616
81.98499999999999,-41.4,0.13445378151260504
84.243,-41.4,0.044642857142857144
86.501,-41.4,0.08433734939759036
88.75899999999999,-41.4,0.06944444444444445
91.017,-41.4,0.018867924528301886
93.275,-41.4,0.16666666666666666
95.53299999999999,-41.4,0.0
97.791,-41.4,0.09523809523809523
100.04899999999999,-41.4,0.0
102.30699999999999,-41.4,0.125
104.565,-41.4,0.25
106.823,-41.4,0.0
109.08099999999999,-41.4,
111.339,-41.4,
113.597,-41.4,
115.85499999999999,-41.4,
118.113,-41.4,
120.371,-41.4,
9.729,-37.8,
11.987,-37.8,
14.245,-37.8,
16.503,-37.8,0.0
18.761,-37.8,
21.019,-37.8,0.0
23.277,-37.8,1.0
25.535,-37.8,0.16666666666666666
27.793,-37.8,0.125
30.051,-37.8,0.23076923076923078
32.309,-37.8,0.14285714285714285
34.567,-37.8,0.18181818181818182
36.825,-37.8,0.2
39.083,-37.8,0.2222222222222222
41.341,-37.8,0.2727272727272727
43.599000000000004,-37.8,0.2222222222222222
45.857,-37.8,0.09090909090909091
48.115,-37.8,0.375
50.373000000000005,-37.8,0.17647058823529413
52.631,-37.8,0.1111111111111111
54.888999999999996,-37.8,0.07142857142857142
57.147000000000006,-37.8,0.07894736842105263
59.405,-37.8,0.14
61.663,-37.8,0.05454545454545454
63.921,-37.8,0.12
66.179,-37.8,0.07407407407407407
68.437,-37.8,0.06741573033707865
70.695,-37.8,0.11224489795918367
72.953,-37.8,0.1
75.21099999999998,-37.8,0.0891089108910891
77.469,-37.8,0.07017543859649122
79.727,-37.8,0.024
81.98499999999999,-37.8,0.04878048780487805
84.243,-37.8,0.07377049180327869
86.501,-37.8,0.056179775280898875
88.75899999999999,-37.8,0.023255813953488372
91.017,-37.8,0.03896103896103896
93.275,-37.8,0.07142857142857142
95.53299999999999,-37.8,0.04
97.791,-37.8,0.13793103448275862
100.04899999999999,-37.8,0.08333333333333333
102.30699999999999,-37.8,0.0
104.565,-37.8,0.0
106.823,-37.8,0.3333333333333333
109.08099999999999,-37.8,
111.339,-37.8,
113.597,-37.8,
115.85499999999999,-37.8,
118.113,-37.8,
120.371,-37.8,
9.729,-34.2,
11.987,-34.2,
14.245,-34.2,
16.503,-34.2,1.0
18.761,-34.2,0.0
21.019,-34.2,0.0
23.277,-34.2,0.0
25.535,-34.2,0.0
27.793,-34.2,0.4
30.051,-34.2,0.3125
32.309,-34.2,0.3333333333333333
34.567,-34.2,0.06666666666666667
36.825,-34.2,0.3888888888888889
39.083,-34.2,0.35714285714285715
41.341,-34.2,0.45454545454545453
43.599000000000004,-34.2,0.26666666666666666
45.857,-34.2,0.0625
48.115,-34.2,0.0
50.373000000000005,-34.2,0.16666666666666666
52.631,-34.2,0.02702702702702703
54.888999999999996,-34.2,0.0851063829787234
57.147000000000006,-34.2,0.14285714285714285
59.405,-34.2,0.10588235294117647
61.663,-34.2,0.056338028169014086
63.921,-34.2,0.08737864077669903
66.179,-34.2,0.07258064516129033
68.437,-34.2,0.08
70.695,-34.2,0.046296296296296294
72.953,-34.2,0.06349206349206349
75.21099999999998,-34.2,0.05161290322580645
77.469,-34.2,0.0189873417721519
79.727,-34.2,0.037267080745341616
81.98499999999999,-34.2,0.06395348837209303
84.243,-34.2,0.037267080745341616
86.501,-34.2,0.06896551724137931
88.75899999999999,-34.2,0.04895104895104895
91.017,-34.2,0.04827586206896552
93.275,-34.2,0.05128205128205128
95.53299999999999,-34.2,0.05263157894736842
97.791,-34.2,0.13333333333333333
100.04899999999999,-34.2,0.09615384615384616
102.30699999999999,-34.2,0.12903225806451613
104.565,-34.2,0.15384615384615385
106.823,-34.2,0.058823529411764705
109.08099999999999,-34.2,0.1111111111111111
111.339,-34.2,
113.597,-34.2,
115.85499999999999,-34.2,
118.113,-34.2,
120.371,-34.2,
9.729,-30.599999999999998,
11.987,-30.599999999999998,
14.245,-30.599999999999998,1.0
16.503,-30.599999999999998,
18.761,-30.599999999999998,0.5
21.019,-30.599999999999998,0.0
23.277,-30.599999999999998,0.2
25.535,-30.599999999999998,0.1
27.793,-30.599999999999998,0.3333333333333333
30.051,-30.599999999999998,0.36363636363636365
32.309,-30.599999999999998,0.2222222222222222
34.567,-30.599999999999998,0.08333333333333333
36.825,-30.599999999999998,0.21428571428571427
39.083,-30.599999999999998,0.2777777777777778
41.341,-30.599999999999998,0.42105263157894735
43.599000000000004,-30.599999999999998,0.2777777777777778
45.857,-30.599999999999998,0.3076923076923077
48.115,-30.599999999999998,0.18181818181818182
50.373000000000005,-30.599999999999998,0.1
52.631,-30.599999999999998,0.18181818181818182
54.888999999999996,-30.599999999999998,0.05555555555555555
57.147000000000006,-30.599999999999998,0.1346153846153846
59.405,-30.599999999999998,0.06451612903225806
61.663,-30.599999999999998,0.06521739130434782
63.921,-30.599999999999998,0.06338028169014084
66.179,-30.599999999999998,0.03571428571428571
68.437,-30.599999999999998,0.0625
70.695,-30.599999999999998,0.08208955223880597
72.953,-30.599999999999998,0.03333333333333333
75.21099999999998,-30.599999999999998,0.05325443786982249
77.469,-30.599999999999998,0.03954802259887006
79.727,-30.599999999999998,0.047872340425531915
81.98499999999999,-30.599999999999998,0.06862745098039216
84.243,-30.599999999999998,0.04854368932038835
86.501,-30.599999999999998,0.06870229007633588
88.75899999999999,-30.599999999999998,0.08095238095238096
